Wavelength	Transit Depth
(meters)	(percent)
4.358410e-07	1.396970e+00
4.362762e-07	1.396892e+00
4.367118e-07	1.397125e+00
4.371479e-07	1.396784e+00
4.375844e-07	1.399271e+00
4.380214e-07	1.396637e+00
4.384587e-07	1.396733e+00
4.388966e-07	1.396926e+00
4.393348e-07	1.396463e+00
4.397735e-07	1.396416e+00
4.402126e-07	1.396326e+00
4.406522e-07	1.402762e+00
4.410922e-07	1.396190e+00
4.415327e-07	1.396140e+00
4.419735e-07	1.396147e+00
4.424149e-07	1.396060e+00
4.428566e-07	1.395986e+00
4.432988e-07	1.395907e+00
4.437415e-07	1.395825e+00
4.441846e-07	1.395767e+00
4.446281e-07	1.395716e+00
4.450721e-07	1.409746e+00
4.455165e-07	1.395654e+00
4.459614e-07	1.395809e+00
4.464067e-07	1.395462e+00
4.468525e-07	1.395804e+00
4.472987e-07	1.395364e+00
4.477453e-07	1.395298e+00
4.481924e-07	1.395229e+00
4.486399e-07	1.395229e+00
4.490879e-07	1.395132e+00
4.495363e-07	1.395062e+00
4.499852e-07	1.395015e+00
4.504345e-07	1.394959e+00
4.508843e-07	1.394907e+00
4.513345e-07	1.395204e+00
4.517852e-07	1.394824e+00
4.522363e-07	1.394765e+00
4.526879e-07	1.394904e+00
4.531399e-07	1.394644e+00
4.535924e-07	1.394583e+00
4.540453e-07	1.394547e+00
4.544987e-07	1.394521e+00
4.549526e-07	1.394443e+00
4.554068e-07	1.394387e+00
4.558616e-07	1.394364e+00
4.563168e-07	1.394307e+00
4.567724e-07	1.394240e+00
4.572285e-07	1.394199e+00
4.576851e-07	1.394161e+00
4.581421e-07	1.394120e+00
4.585996e-07	1.394074e+00
4.590575e-07	1.394034e+00
4.595159e-07	1.393996e+00
4.599747e-07	1.394028e+00
4.604340e-07	1.393919e+00
4.608938e-07	1.393875e+00
4.613540e-07	1.393837e+00
4.618147e-07	1.393786e+00
4.622758e-07	1.394754e+00
4.627374e-07	1.393720e+00
4.631995e-07	1.393693e+00
4.636620e-07	1.393646e+00
4.641250e-07	1.393797e+00
4.645885e-07	1.393614e+00
4.650524e-07	1.393554e+00
4.655167e-07	1.393597e+00
4.659816e-07	1.393491e+00
4.664469e-07	1.393479e+00
4.669126e-07	1.393521e+00
4.673789e-07	1.393431e+00
4.678456e-07	1.393482e+00
4.683127e-07	1.393369e+00
4.687803e-07	1.394524e+00
4.692484e-07	1.393549e+00
4.697170e-07	1.393350e+00
4.701860e-07	1.393301e+00
4.706555e-07	1.393318e+00
4.711255e-07	1.394913e+00
4.715959e-07	1.393254e+00
4.720668e-07	1.393289e+00
4.725382e-07	1.393254e+00
4.730101e-07	1.393220e+00
4.734824e-07	1.393299e+00
4.739552e-07	1.400806e+00
4.744284e-07	1.393203e+00
4.749022e-07	1.393269e+00
4.753764e-07	1.393968e+00
4.758511e-07	1.393292e+00
4.763262e-07	1.393219e+00
4.768018e-07	1.393199e+00
4.772779e-07	1.393320e+00
4.777545e-07	1.393260e+00
4.782316e-07	1.393246e+00
4.787091e-07	1.393247e+00
4.791871e-07	1.393308e+00
4.796656e-07	1.393356e+00
4.801446e-07	1.393385e+00
4.806240e-07	1.393334e+00
4.811039e-07	1.393340e+00
4.815843e-07	1.393587e+00
4.820652e-07	1.394136e+00
4.825466e-07	1.395185e+00
4.830284e-07	1.393533e+00
4.835107e-07	1.393686e+00
4.839935e-07	1.401609e+00
4.844768e-07	1.393851e+00
4.849606e-07	1.393698e+00
4.854448e-07	1.393797e+00
4.859296e-07	1.393737e+00
4.864148e-07	1.393754e+00
4.869005e-07	1.393867e+00
4.873867e-07	1.393877e+00
4.878734e-07	1.395170e+00
4.883605e-07	1.393943e+00
4.888482e-07	1.394011e+00
4.893363e-07	1.394256e+00
4.898249e-07	1.395550e+00
4.903140e-07	1.394176e+00
4.908036e-07	1.394338e+00
4.912937e-07	1.394364e+00
4.917843e-07	1.394409e+00
4.922754e-07	1.394520e+00
4.927669e-07	1.395060e+00
4.932590e-07	1.394639e+00
4.937515e-07	1.394978e+00
4.942445e-07	1.395031e+00
4.947380e-07	1.397581e+00
4.952321e-07	1.395022e+00
4.957266e-07	1.395124e+00
4.962216e-07	1.395361e+00
4.967171e-07	1.395322e+00
4.972131e-07	1.395494e+00
4.977095e-07	1.400967e+00
4.982065e-07	1.395636e+00
4.987040e-07	1.395755e+00
4.992020e-07	1.396048e+00
4.997004e-07	1.395999e+00
5.001994e-07	1.396488e+00
5.006989e-07	1.396562e+00
5.011988e-07	1.396371e+00
5.016993e-07	1.396509e+00
5.022003e-07	1.396679e+00
5.027017e-07	1.396838e+00
5.032037e-07	1.397657e+00
5.037062e-07	1.397391e+00
5.042091e-07	1.397186e+00
5.047126e-07	1.397661e+00
5.052166e-07	1.397525e+00
5.057211e-07	1.397735e+00
5.062261e-07	1.397798e+00
5.067315e-07	1.398053e+00
5.072375e-07	1.398245e+00
5.077440e-07	1.398283e+00
5.082510e-07	1.398794e+00
5.087585e-07	1.398926e+00
5.092665e-07	1.398846e+00
5.097751e-07	1.399121e+00
5.102841e-07	1.399179e+00
5.107936e-07	1.399867e+00
5.113037e-07	1.403966e+00
5.118142e-07	1.399860e+00
5.123253e-07	1.399946e+00
5.128369e-07	1.400370e+00
5.133490e-07	1.400604e+00
5.138616e-07	1.400609e+00
5.143747e-07	1.400749e+00
5.148883e-07	1.400793e+00
5.154024e-07	1.401040e+00
5.159171e-07	1.402164e+00
5.164322e-07	1.401399e+00
5.169479e-07	1.401619e+00
5.174641e-07	1.401822e+00
5.179808e-07	1.403355e+00
5.184980e-07	1.402171e+00
5.190158e-07	1.402384e+00
5.195340e-07	1.402584e+00
5.200528e-07	1.402830e+00
5.205721e-07	1.403142e+00
5.210919e-07	1.403191e+00
5.216122e-07	1.403431e+00
5.221331e-07	1.403597e+00
5.226545e-07	1.403836e+00
5.231763e-07	1.404035e+00
5.236988e-07	1.404239e+00
5.242217e-07	1.513549e+00
5.247451e-07	1.404697e+00
5.252691e-07	1.404878e+00
5.257936e-07	1.405095e+00
5.263187e-07	1.405312e+00
5.268442e-07	1.405526e+00
5.273703e-07	1.406462e+00
5.278969e-07	1.406385e+00
5.284240e-07	1.406155e+00
5.289516e-07	1.406373e+00
5.294798e-07	1.406683e+00
5.300085e-07	1.406836e+00
5.305378e-07	1.407059e+00
5.310675e-07	1.407279e+00
5.315978e-07	1.407477e+00
5.321286e-07	1.407682e+00
5.326600e-07	1.407962e+00
5.331919e-07	1.408165e+00
5.337243e-07	1.408391e+00
5.342572e-07	1.415370e+00
5.347907e-07	1.408815e+00
5.353247e-07	1.409027e+00
5.358592e-07	1.409266e+00
5.363943e-07	1.409519e+00
5.369299e-07	1.409715e+00
5.374661e-07	1.409954e+00
5.380028e-07	1.410182e+00
5.385400e-07	1.410427e+00
5.390777e-07	1.410744e+00
5.396160e-07	1.411368e+00
5.401548e-07	1.413103e+00
5.406942e-07	1.411410e+00
5.412341e-07	1.411620e+00
5.417745e-07	1.411880e+00
5.423155e-07	1.412184e+00
5.428571e-07	1.412401e+00
5.433991e-07	1.412831e+00
5.439417e-07	1.413336e+00
5.444849e-07	1.413139e+00
5.450286e-07	1.413395e+00
5.455728e-07	1.413622e+00
5.461176e-07	1.413903e+00
5.466629e-07	1.414165e+00
5.472087e-07	1.420145e+00
5.477552e-07	1.414760e+00
5.483021e-07	1.415152e+00
5.488496e-07	1.415265e+00
5.493977e-07	1.415563e+00
5.499462e-07	1.415856e+00
5.504954e-07	1.416136e+00
5.510451e-07	1.416453e+00
5.515953e-07	1.416785e+00
5.521461e-07	1.417064e+00
5.526974e-07	1.417394e+00
5.532493e-07	1.417714e+00
5.538018e-07	1.418294e+00
5.543548e-07	1.418456e+00
5.549083e-07	1.418716e+00
5.554624e-07	1.419083e+00
5.560171e-07	1.419431e+00
5.565723e-07	1.419919e+00
5.571280e-07	1.439116e+00
5.576843e-07	1.420570e+00
5.582412e-07	1.420930e+00
5.587986e-07	1.424350e+00
5.593566e-07	1.421739e+00
5.599151e-07	1.422163e+00
5.604742e-07	1.422622e+00
5.610339e-07	1.423082e+00
5.615941e-07	1.423499e+00
5.621549e-07	1.423967e+00
5.627162e-07	1.424423e+00
5.632781e-07	1.424890e+00
5.638406e-07	1.425379e+00
5.644036e-07	1.425892e+00
5.649671e-07	1.426393e+00
5.655313e-07	1.426934e+00
5.660960e-07	1.427484e+00
5.666613e-07	1.428023e+00
5.672271e-07	1.428576e+00
5.677935e-07	1.429166e+00
5.683605e-07	1.430188e+00
5.689280e-07	1.430349e+00
5.694961e-07	1.430980e+00
5.700647e-07	1.431582e+00
5.706340e-07	1.432251e+00
5.712038e-07	1.432899e+00
5.717741e-07	1.433649e+00
5.723451e-07	1.434253e+00
5.729166e-07	1.434857e+00
5.734887e-07	1.435543e+00
5.740613e-07	1.436279e+00
5.746345e-07	1.441618e+00
5.752083e-07	1.437681e+00
5.757827e-07	1.438444e+00
5.763576e-07	1.439155e+00
5.769332e-07	1.530596e+00
5.775092e-07	1.440714e+00
5.780859e-07	1.441592e+00
5.786631e-07	1.442375e+00
5.792410e-07	1.443231e+00
5.798194e-07	1.444000e+00
5.803983e-07	1.445176e+00
5.809779e-07	1.445822e+00
5.815580e-07	1.446962e+00
5.821387e-07	1.447808e+00
5.827200e-07	1.448920e+00
5.833019e-07	1.450093e+00
5.838843e-07	1.451400e+00
5.844673e-07	1.452876e+00
5.850510e-07	1.454556e+00
5.856351e-07	1.456562e+00
5.862199e-07	1.459068e+00
5.868053e-07	1.462365e+00
5.873912e-07	1.467323e+00
5.879778e-07	1.476158e+00
5.885649e-07	1.489770e+00
5.891526e-07	1.548994e+00
5.897409e-07	1.503582e+00
5.903298e-07	1.478234e+00
5.909192e-07	1.468543e+00
5.915093e-07	1.463192e+00
5.920999e-07	1.459587e+00
5.926912e-07	1.456990e+00
5.932830e-07	1.454902e+00
5.938754e-07	1.453194e+00
5.944684e-07	1.451696e+00
5.950620e-07	1.450407e+00
5.956562e-07	1.449211e+00
5.962510e-07	1.448112e+00
5.968464e-07	1.447955e+00
5.974423e-07	1.446183e+00
5.980389e-07	1.445201e+00
5.986361e-07	1.444347e+00
5.992338e-07	1.443519e+00
5.998322e-07	1.442666e+00
6.004311e-07	1.442573e+00
6.010307e-07	1.441137e+00
6.016308e-07	1.440446e+00
6.022316e-07	1.439705e+00
6.028329e-07	1.438857e+00
6.034349e-07	1.438169e+00
6.040374e-07	1.437555e+00
